Link Vaga,Link Empresa,Cargo,Nome Empresa,Local,Tempo de Abertura,Status
https://br.linkedin.com/jobs/view/analista-de-dados-bi-jr-at-m%C3%A9todo-engenharia-3608539899?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=znPl6iFk6m42SJx32rBleA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/metodo-engenharia?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados | BI - Jr.,Método Engenharia,"São Paulo, SP",Há 2 semanas,
https://br.linkedin.com/jobs/view/analista-de-dados-e-analytics-jr-comercial-vaga-exclusiva-para-profissionais-com-defici%C3%AAncia-at-alelo-brasil-3612824847?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=K6d5txdtBCXcVQ4E58FDzA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/alelo-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados e Analytics JR- Comercial- Vaga Exclusiva Para Profissionais com Deficiência,Alelo Brasil,"Barueri, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-analytics-jr-at-livelo-brasil-3618003226?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=6AVhFVKlF3KAfOTCDCedAQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/livelo-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Analytics JR,Livelo Brasil,"Barueri, SP",Há 1 semana,
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-dados-e-analytics-at-adm-do-brasil-ltda-3601270211?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=TI87Ic7rAtla%2BplsY8TmjA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/adm-do-brasil-ltda.?trk=public_jobs_jserp-result_job-search-card-subtitle,Estágio em Dados e Analytics,ADM do Brasil Ltda.,"São Paulo, SP",Há 3 semanas,
https://br.linkedin.com/jobs/view/analista-de-dados-junior-at-laces-and-hair-3612799957?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=9ImswJp1hBbG1PAY%2BsDCOA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/laces-and-hair?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados Junior,Laces and Hair,"São Paulo, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-bi-jr-at-kovi-3611717170?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=WT4Yie92GtXsqYy1uKPMBQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/kovi?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de BI - Jr,Kovi,"São Paulo, SP",Há 1 semana,
https://br.linkedin.com/jobs/view/data-analyst-jr-analista-de-dados-jr-at-grupo-primo-3617129532?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=SGblBXJUAo3atva4n4yZGg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/grupo-primo?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst Jr/ Analista de Dados Jr,Grupo PRIMO,"Barueri, SP",Há 1 semana,
https://br.linkedin.com/jobs/view/nv-analista-de-dados-at-bynv-3601620006?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=4UJ44NXKHM7LJ8hSwJzzIw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/bynv?trk=public_jobs_jserp-result_job-search-card-subtitle,NV | Analista de Dados,BYNV,"São Paulo, SP",Há 3 semanas,
https://br.linkedin.com/jobs/view/analista-de-bi-at-bacio-di-latte-3621499606?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=7dZVnXvA9cPj4jh4VWxyMw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/bacio-di-latte?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de BI,Bacio di Latte,"São Paulo, SP",Há 5 dias,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-dados-sanb-at-santander-brasil-3601294489?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=Vi79bJ1v9UxeM0pIVO7J5Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/grupo-santander-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados Sanb,Santander Brasil,"São Paulo, SP",Há 1 mês,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-dados-j%C3%BAnior-h%C3%ADbrido-at-justa-3602415539?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=B7AYmbE27rNNfvRNUW0gCw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/justa-solucoes-financeiras?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados Júnior (Híbrido),Justa,"Barueri, SP",Há 4 semanas,
https://br.linkedin.com/jobs/view/analista-de-dados-edtech-at-nelogica-3617901824?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=eu7iarfpET4hbJOgOdNCBw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/nelogica?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados - Edtech,Nelogica,"São Paulo, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-dados-at-atheva-tecnologia-em-educa%C3%A7%C3%A3o-3604571535?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=%2BkJMfQg6tDDqjlaLBq3lUQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/atheva-tecnologia-em-educa-o?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados,Atheva Tecnologia em Educação,"São Paulo, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/data-analytics-analyst-pleno-analista-de-crm-at-santander-brasil-3619225895?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=wjIWvrkEoBVCZWSPsz9uPQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/grupo-santander-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Data & Analytics Analyst Pleno (Analista de CRM),Santander Brasil,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-de-dados-at-cheil-brasil-3617035813?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=rdlvQPRMkPiWmocTKmEjDg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/cheil-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados,Cheil Brasil,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-intelig%C3%AAncia-de-dados-digital-at-record-tv-3592327117?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=OWRKd3nE4iTerG%2FpBq4Trg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/recordtvoficial?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista Inteligência de Dados Digital,Record TV,"São Paulo, SP",Há 1 mês,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-dados-at-anjun-brasil-3612100698?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=TWJkACP0MqTrXtXQs5l7zg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/anjun-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados,Anjun Brasil,"São Paulo, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/data-analytics-analyst-pleno-analista-de-crm-at-santander-brasil-3587088882?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=XRv3%2BeO99ye6jU0VyZw09Q%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/grupo-santander-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Data & Analytics Analyst Pleno (Analista de CRM),Santander Brasil,"São Paulo, SP",Há 2 meses,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-dados-pleno-at-nutrien-solu%C3%A7%C3%B5es-agr%C3%ADcolas-3519765375?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=sOCJzkCqGNuAZuXn%2Fs4JlQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/nutrienbr?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Dados Pleno,Nutrien Soluções Agrícolas,"São Paulo, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/data-analytics-analyst-pl-analista-de-crm-at-santander-brasil-3619232033?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=kiasFnb%2FQuAyRhAZJ8xqww%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/grupo-santander-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Data & Analytics Analyst PL (Analista de CRM),Santander Brasil,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-de-dados-pricing%0A-%0A-1-vaga-at-seal-telecom-a-convergint-technologies-company-3602685613?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=oKJfLQ1s01f6ClCBSR9Y9w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/sealtelecom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Analista de Dados/Pricing
        
          (1 vaga)",Seal Telecom - A Convergint Technologies Company,"São Paulo, SP",Há 3 semanas,
https://br.linkedin.com/jobs/view/data-analytics-analyst-pleno-analista-de-crm-at-santander-brasil-3619226644?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=mmhm357Q9oolOPpaeLuQgA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/grupo-santander-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Data & Analytics Analyst Pleno (Analista de CRM),Santander Brasil,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/est%C3%A1gio-de-bi-at-webfoco-%2B-pippe-3613064143?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=RRcYmjwLw6Kr6I9x7KzISg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/webfoco?trk=public_jobs_jserp-result_job-search-card-subtitle,Estágio de BI,Webfoco + Pippe,"São Caetano do Sul, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-comerciais-dados-at-indigo-3518622994?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=prnWCejle52JfXu6VXgd0w%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/indigoag?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Operações Comerciais - Dados,Indigo,"São Paulo, SP",Há 2 semanas,
https://br.linkedin.com/jobs/view/analista-de-informa%C3%A7%C3%B5es-jr-analista-de-fraude-at-abcr-3605325471?refId=e2aO7mtUHBW%2FS1Ir%2FEPF%2Fg%3D%3D&trackingId=blEtk4Qq6sXB1MioQ%2FGi1Q%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/abcr?trk=public_jobs_jserp-result_job-search-card-subtitle,ANALISTA DE INFORMAÇÕES JR - ANALISTA DE FRAUDE,ABCR,"São Paulo, SP",Há 1 mês,
https://br.linkedin.com/jobs/view/analista-de-consumer-insights-jr-at-cacau-show-3617133067?refId=XS7vh3DNNzqlecmnuC%2Famg%3D%3D&trackingId=dPXAVlT2ClMhnu6xA94Q%2BQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/cacau-show?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Consumer Insights Jr,Cacau Show,"Itapevi, SP",Há 1 semana,
https://br.linkedin.com/jobs/view/data-analytics-analyst-at-shopee-3611205701?refId=XS7vh3DNNzqlecmnuC%2Famg%3D%3D&trackingId=2uiVUydDrMKM5IbYAzZUJw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,https://sg.linkedin.com/company/shopee?trk=public_jobs_jserp-result_job-search-card-subtitle,Data & Analytics Analyst,Shopee,"São Paulo, SP",Há 1 mês,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-bi-junior-at-webfoco-%2B-pippe-3583527369?refId=XS7vh3DNNzqlecmnuC%2Famg%3D%3D&trackingId=eZAQdJS33yCONJGQULtNoQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/webfoco?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de BI Junior,Webfoco + Pippe,"São Caetano do Sul, SP",Há 2 meses,Contratando agora
